brief_id,language,category,extracted_value,ground_truth_value
MB108,ar,spatial_constraints,"[('delivery truck', 'left', 'cardboard box')]","('delivery van', 'left', 'cardboard box')"
MB108,ar,required_text,[],ZOOM
MB109,ar,objects,"['camper van', 'tent']",campervan
MB109,ar,colours,<missing>,beige
MB109,ar,spatial_constraints,"[('camper van', 'left', 'tent')]","('campervan', 'left', 'camping tent')"
MB111,ar,objects,"['car', 'roof rack']",sports hatchback
MB111,ar,colours,<missing>,black
MB111,ar,spatial_constraints,"[('roof rack', 'above', 'car')]","('roof rack', 'above', 'sports hatchback')"
MB112,ar,objects,['car'],siren light
MB112,ar,colours,<missing>,red
MB118,ar,objects,"['car', 'radio antenna']",armored suv
MB118,ar,colours,<missing>,green
MB118,ar,spatial_constraints,"[('radio antenna', 'right', 'car')]","('radio antenna', 'right', 'armored suv')"
MB120,ar,objects,"['cone', 'motorcycle', 'track']",superbike
MB120,ar,colours,<missing>,orange
MB120,ar,spatial_constraints,"[('motorcycle', 'right', 'cone')]","('superbike', 'right', 'track cone')"
MB123,ar,objects,"['sports bag', 'towel']",gym bag
MB123,ar,colours,<missing>,black
MB123,ar,spatial_constraints,"[('sports bag', 'left', 'towel')]","('gym bag', 'left', 'towel')"
MB124,ar,objects,['cream'],flower
MB124,ar,colours,<missing>,pink
MB125,ar,objects,"['bottle', 'dumbbell', 'mat']",protein shaker
MB125,ar,colours,<missing>,black
MB125,ar,spatial_constraints,"[('bottle', 'left', 'dumbbell'), ('dumbbell', 'above', 'mat')]","('protein shaker', 'left', 'dumbbell')"
MB126,ar,objects,"['candle', 'pillow']",meditation cushion
MB126,ar,colours,<missing>,purple
MB126,ar,spatial_constraints,"[('pillow', 'left', 'candle')]","('meditation cushion', 'left', 'candle')"
MB131,ar,objects,"['notebook', 'pen']",journal
MB131,ar,colours,<missing>,white
MB131,ar,spatial_constraints,"[('notebook', 'left', 'pen')]","('journal', 'left', 'pen')"
MB134,ar,colours,none,white
MB134,ar,spatial_constraints,"[('bowl', 'left', 'glass cup')]","('collagen powder jar', 'left', 'glass')"
MB139,ar,colours,blue green,teal
MB142,ar,objects,"['pressure mat', 'rectangular pillow']",acupressure mat
MB142,ar,colours,<missing>,purple
MB142,ar,spatial_constraints,"[('pressure mat', 'right', 'rectangular pillow')]","('acupressure mat', 'right', 'pillow')"
MB146,ar,objects,"['stretch band', 'yoga mat']",stretching strap
MB146,ar,colours,<missing>,blue
MB146,ar,spatial_constraints,"[('stretch band', 'below', 'yoga mat')]","('stretching strap', 'below', 'yoga mat')"
MB148,ar,objects,"['jacket', 'shoe']",hydration vest
MB148,ar,colours,<missing>,blue
MB148,ar,spatial_constraints,"[('jacket', 'below', 'shoe')]","('hydration vest', 'below', 'trail running shoe')"
MB149,ar,objects,"['holder', 'musk', 'surface']",meditation bead
MB149,ar,colours,<missing>,brown
MB149,ar,spatial_constraints,"[('holder', 'right', 'musk')]","('incense holder', 'right', 'meditation bead')"
MB150,ar,objects,"['bathtub', 'towel']",cold plunge tub
MB150,ar,colours,<missing>,white
MB150,ar,spatial_constraints,"[('bathtub', 'right', 'towel')]","('cold plunge tub', 'right', 'towel')"
