brief_id,language,extracted_objects_json,extracted_colours_json,extracted_spatial_json,extracted_text_json,extraction_error
MB029,fr,"[""router"", ""ethernet cable""]","{""router"": ""white"", ""ethernet cable"": ""yellow""}","[""ethernet cable below of router""]","[""FUSE""]",
MB030,fr,"[""gaming mouse"", ""mouse pad""]","{""gaming mouse"": ""black"", ""mouse pad"": ""red""}","[""gaming mouse on top of mouse pad""]","[""logo GRID""]",
MB031,fr,"[""bottle"", ""cup""]","{""bottle"": ""orange"", ""cup"": ""white""}","[""bottle left of cup""]","[""ZEST""]",
MB032,fr,"[""sachet de caf\u00e9"", ""tasse \u00e0 expresso"", ""table""]","{""sachet de caf\u00e9"": ""marron"", ""tasse \u00e0 expresso"": ""noir"", ""table"": ""bois""}","[""sachet de caf\u00e9 above tasse \u00e0 expresso""]","[""PURE""]",
MB033,fr,"[""cereal box"", ""milk carton""]","{""cereal box"": ""yellow"", ""milk carton"": ""white""}","[""cereal box left of milk carton""]","[""BLOOM""]",
MB034,fr,"[""bottle"", ""cutting board""]","{""bottle"": ""red"", ""cutting board"": ""brown""}","[""bottle right of cutting board""]","[""GROVE""]",
MB035,fr,"[""bottle"", ""bunch of grapes""]","{""bottle"": ""green"", ""bunch of grapes"": ""purple""}","[""bottle right of bunch of grapes""]","[""FRESH""]",
MB036,fr,"[""tea box"", ""tea cup"", ""saucer""]","{""tea box"": ""teal"", ""tea cup"": ""white"", ""saucer"": ""white""}","[""tea box above of tea cup"", ""tea cup above of saucer""]","[""CRISP""]",
MB037,fr,"[""canette"", ""halt\u00e8re""]","{""canette"": ""noir"", ""halt\u00e8re"": ""argent\u00e9""}","[""canette left of halt\u00e8re""]","[""BOLD""]",
MB038,fr,"[""water bottle"", ""lemon"", ""marble surface""]","{""water bottle"": ""blue"", ""lemon"": ""yellow"", ""marble surface"": ""white""}","[""water bottle above lemon"", ""water bottle on marble surface""]","[""MIST""]",
MB039,fr,"[""yogurt pot"", ""strawberry""]","{""yogurt pot"": ""white"", ""strawberry"": ""red""}","[""yogurt pot left of strawberry""]","[""GLOW""]",
MB040,fr,"[""cookie box"", ""glass of milk""]","{""cookie box"": ""red"", ""glass of milk"": ""white""}","[""cookie box right of glass of milk""]","[""PETAL""]",
MB041,fr,"[""canette de soda"", ""seau \u00e0 glace""]","{""canette de soda"": ""blue"", ""seau \u00e0 glace"": ""silver""}","[""canette de soda left of seau \u00e0 glace""]","[""QUENCH""]",
MB042,fr,"[""pot de poudre prot\u00e9in\u00e9e"", ""shaker""]","{""pot de poudre prot\u00e9in\u00e9e"": ""black"", ""shaker"": ""white""}","[""pot de poudre prot\u00e9in\u00e9e left of shaker""]","[""RIPPLE""]",
MB043,fr,"[""bottle"", ""garlic""]","{""bottle"": ""green"", ""garlic"": ""white""}","[""bottle above garlic""]","[""SWAY""]",
MB044,fr,"[""granola bar"", ""banana""]","{""granola bar"": ""kraft"", ""banana"": ""yellow""}","[""granola bar left of banana""]","[""TEMPO""]",
MB045,fr,"[""bottle"", ""straw""]","{""bottle"": ""brown"", ""straw"": ""silver""}","[""bottle left of straw""]","[""UMBER""]",
MB046,fr,"[""canette"", ""citron vert""]","{""canette"": ""bleue"", ""citron vert"": ""frais""}","[""canette left of citron vert""]","[""VERDE""]",
MB047,fr,"[""pot"", ""tranche"", ""planche""]","{""pot"": ""amber"", ""tranche"": ""brown"", ""planche"": ""wood""}","[""pot above tranche"", ""tranche on planche""]","[""WARM""]",
MB048,fr,"[""bottle"", ""berries""]","{""bottle"": ""purple"", ""berries"": ""red""}","[""bottle left of berries""]","[""XTRA""]",
MB049,fr,"[""bottle"", ""bamboo stick""]","{""bottle"": ""white"", ""bamboo stick"": ""green""}","[""bottle right of bamboo stick""]","[""YUMA""]",
MB050,fr,"[""tablet""]","{""tablet"": ""dark brown""}","[""tablet on surface of marble""]","[""ZEAL""]",
MB051,fr,"[""juice pouch"", ""straw""]","{""juice pouch"": ""orange"", ""straw"": ""brown""}","[""juice pouch right of straw""]","[""AMBER""]",
MB052,fr,"[""jar"", ""slice of bread""]","{""jar"": ""brown"", ""slice of bread"": ""white""}","[""jar above slice of bread""]","[""BRISK""]",
MB053,fr,"[""bottle"", ""piece of ginger root""]","{""bottle"": ""brown"", ""piece of ginger root"": ""yellow""}","[""bottle right of piece of ginger root""]","[""COVE""]",
MB054,fr,"[""bottle"", ""bunch of mint""]","{""bottle"": ""blue"", ""bunch of mint"": ""green""}","[""bottle above bunch of mint""]","[""DRIP""]",
MB055,fr,"[""box"", ""whisk""]","{""box"": ""green"", ""whisk"": ""brown""}","[""box right of whisk""]","[""ELIXIR""]",
MB056,fr,"[""carton"", ""bol""]","{""carton"": ""white"", ""bol"": ""brown""}","[""carton right of bol""]","[""FERN""]",
MB057,fr,"[""canette d'eau de coco"", ""noix de coco""]","{""canette d'eau de coco"": ""blanc"", ""noix de coco"": ""brun""}","[""canette d'eau de coco right of noix de coco""]","[""GUSTO""]",
MB058,fr,"[""bottle"", ""root""]","{""bottle"": ""yellow"", ""root"": ""orange""}","[""bottle above of root""]","[""HERBA""]",
MB059,fr,"[""bottle"", ""bunch of grapes""]","{""bottle"": ""purple"", ""bunch of grapes"": ""green""}","[""bottle right of bunch of grapes""]","[""INFUSE""]",
MB060,fr,"[""bottle"", ""carrot""]","{""bottle"": ""green"", ""carrot"": ""orange""}","[""bottle below of carrot""]","[""JUVO""]",
MB061,fr,"[""basket"", ""bo\u00eete \u00e0 chaussures""]","{""basket"": ""blanc"", ""bo\u00eete \u00e0 chaussures"": ""rouge""}","[""basket above bo\u00eete \u00e0 chaussures""]","[""MODE""]",
MB062,fr,"[""jacket"", ""hanger""]","{""jacket"": ""black"", ""hanger"": ""brown""}","[""jacket above hanger""]","[""LUXE""]",
MB063,fr,"[""handbag"", ""sunglasses""]","{""handbag"": ""beige"", ""sunglasses"": ""black""}","[""handbag left of sunglasses""]","[""FORM""]",
MB064,fr,"[""watch"", ""box""]","{""watch"": ""gold"", ""box"": ""black""}","[""watch on top of box""]","[""logo GRACE""]",
MB065,fr,"[""sunglasses"", ""case""]","{""sunglasses"": ""brown"", ""case"": ""black""}","[""sunglasses above case""]","[""HAVEN""]",
MB066,fr,"[""running shoes"", ""sports socks""]","{""running shoes"": ""blue"", ""sports socks"": ""white""}","[""running shoes left of sports socks""]","[""INKE""]",
MB067,fr,"[""jacket"", ""tote bag""]","{""jacket"": ""blue"", ""tote bag"": ""white""}","[""jacket above of tote bag""]","[""JOIE""]",
MB068,fr,"[""tote bag"", ""silk scarf""]","{""tote bag"": ""brown"", ""silk scarf"": ""red""}","[""tote bag left of silk scarf""]","[""KEEN""]",
MB069,fr,"[""sneaker"", ""skateboard""]","{""sneaker"": ""white"", ""skateboard"": ""red""}","[""sneaker above skateboard""]","[""LACE""]",
MB070,fr,"[""sports bra"", ""yoga mat""]","{""sports bra"": ""pink"", ""yoga mat"": ""purple""}","[""sports bra on top of yoga mat""]","[""MAUVE""]",
MB071,fr,"[""baseball cap"", ""t-shirt""]","{""baseball cap"": ""black"", ""t-shirt"": ""white""}","[""baseball cap above t-shirt""]","[""NOIR""]",
MB072,fr,"[""chelsea boot"", ""leather belt""]","{""chelsea boot"": ""black"", ""leather belt"": ""brown""}","[""chelsea boot left of leather belt""]","[""ONYX""]",
MB073,fr,"[""raincoat"", ""umbrella""]","{""raincoat"": ""yellow"", ""umbrella"": ""black""}","[""raincoat above umbrella""]","[""POISE""]",
MB074,fr,"[""sweater"", ""scarf""]","{""sweater"": ""grey"", ""scarf"": ""white""}","[""sweater above of scarf""]","[""RIVE""]",
MB075,fr,"[""swimsuit"", ""sunscreen bottle""]","{""swimsuit"": ""orange"", ""sunscreen bottle"": ""white""}","[""swimsuit left of sunscreen bottle""]","[""SILK""]",
MB076,fr,"[""backpack"", ""water bottle""]","{""backpack"": ""navy blue"", ""water bottle"": ""silver""}","[""backpack left of water bottle""]","[""TONE""]",
MB077,fr,"[""hoodie"", ""jogging pants""]","{""hoodie"": ""grey"", ""jogging pants"": ""black""}","[""hoodie above jogging pants""]","[""ULAN""]",
MB078,fr,"[""shoe"", ""briefcase""]","{""shoe"": ""brown"", ""briefcase"": ""beige""}","[""shoe left of briefcase""]","[""VIBE""]",
MB079,fr,"[""jacket"", ""glove""]","{""jacket"": ""red"", ""glove"": ""black""}","[""jacket below of glove""]","[""WOVEN""]",
MB080,fr,"[""short"", ""sneakers""]","{""short"": ""black"", ""sneakers"": ""white""}","[""short below sneakers""]","[""XARA""]",
MB081,fr,"[""tote bag"", ""paperback book""]","{""tote bag"": ""beige"", ""paperback book"": ""white""}","[""tote bag left of paperback book""]","[""YARN""]",
MB082,fr,"[""trench-coat"", ""parapluie""]","{""trench-coat"": ""beige"", ""parapluie"": ""black""}","[""trench-coat below parapluie""]","[""ZOLA""]",
MB083,fr,"[""cuissard"", ""casque""]","{""cuissard"": ""black"", ""casque"": ""white""}","[""cuissard right of casque""]","[""AEON""]",
MB084,fr,"[""wallet"", ""coin"", ""surface""]","{""wallet"": ""black"", ""coin"": ""silver"", ""surface"": ""dark marble""}","[""wallet below of coin""]","[""BRIM""]",
MB085,fr,"[""beanie"", ""jacket""]","{""beanie"": ""grey"", ""jacket"": ""navy""}","[""beanie below of jacket""]","[""CORD""]",
MB086,fr,"[""platform heels"", ""clutch""]","{""platform heels"": ""black"", ""clutch"": ""red""}","[""platform heels right of clutch""]","[""DUSK""]",
MB087,fr,"[""cargo pant"", ""leather boot""]","{""cargo pant"": ""green"", ""leather boot"": ""brown""}","[""cargo pant below leather boot""]","[""ZYLO""]",
MB088,fr,"[""tie"", ""shirt""]","{""tie"": ""navy blue"", ""shirt"": ""white""}","[""tie below shirt""]","[""FINN""]",
MB089,fr,"[""legging"", ""basket""]","{""legging"": ""violet"", ""basket"": ""white""}","[""legging right of basket""]","[""logo GILD""]",
MB090,fr,"[""sandal"", ""hat""]","{""sandal"": ""beige"", ""hat"": ""white""}","[""sandal right of hat""]","[""HAZE""]",
MB091,fr,"[""car"", ""helmet""]","{""car"": ""red"", ""helmet"": ""white""}","[""car left of helmet""]","[""TORQ""]",
MB092,fr,"[""car"", ""charging cable""]","{""car"": ""white"", ""charging cable"": ""green""}","[""charging cable left of car""]","[""logo RUSH""]",
MB093,fr,"[""suv"", ""roof rack""]","{""suv"": ""black"", ""roof rack"": ""silver""}",[],"[""FORGE""]",
MB094,fr,"[""motorcycle"", ""full-face helmet""]","{""motorcycle"": ""black"", ""full-face helmet"": ""white""}","[""motorcycle left of full-face helmet""]","[""HELIX""]",
MB095,fr,"[""car"", ""tire""]","{""car"": ""blue"", ""tire"": ""black""}","[""tire below of car""]","[""JOLT""]",
MB096,fr,"[""camionnette"", ""bo\u00eete \u00e0 outils""]","{""camionnette"": ""orange"", ""bo\u00eete \u00e0 outils"": ""noir""}","[""camionnette left of bo\u00eete \u00e0 outils""]","[""KINETIC""]",
MB097,fr,"[""scooter"", ""helmet""]","{""scooter"": ""white"", ""helmet"": ""black""}","[""scooter left of helmet""]","[""LAUNCH""]",
MB098,fr,"[""compact car"", ""parking sign""]","{""compact car"": ""silver"", ""parking sign"": ""white""}","[""compact car left of parking sign""]","[""MOTION""]",
MB099,fr,"[""convertible"", ""car key""]","{""convertible"": ""yellow"", ""car key"": ""silver""}","[""convertible above of car key""]","[""PULSE""]",
MB100,fr,"[""car"", ""solar panel""]","{""car"": ""green"", ""solar panel"": ""navy blue""}","[""car left of solar panel""]","[""QUEST""]",
MB101,fr,"[""car"", ""flag""]","{""car"": ""red"", ""flag"": ""black and white""}","[""car left of flag""]","[""RACER""]",
MB102,fr,"[""motorcycle"", ""racing gloves""]","{""motorcycle"": ""silver"", ""racing gloves"": ""black""}","[""motorcycle above racing gloves""]","[""SPEED""]",
MB103,fr,"[""berline"", ""si\u00e8ge enfant""]","{""berline"": ""blanc"", ""si\u00e8ge enfant"": ""noir""}","[""si\u00e8ge enfant right of berline""]","[""THRUST""]",
MB104,fr,"[""vehicle"", ""spare wheel""]","{""vehicle"": ""brown"", ""spare wheel"": ""black""}","[""vehicle left of spare wheel""]","[""VEER""]",
MB105,fr,"[""berline"", ""porte-cl\u00e9s""]","{""berline"": ""noir"", ""porte-cl\u00e9s"": ""dor\u00e9""}","[""berline above of porte-cl\u00e9s""]","[""WARP""]",
MB106,fr,"[""bicycle"", ""charging cable""]","{""bicycle"": ""white"", ""charging cable"": ""black""}","[""bicycle left of charging cable""]","[""XCEL""]",
MB107,fr,"[""car"", ""trophy""]","{""car"": ""red"", ""trophy"": ""gold""}","[""car left of trophy""]","[""YOKE""]",
MB108,fr,"[""camionnette"", ""carton""]","{""camionnette"": ""blanc"", ""carton"": ""marron""}","[""camionnette left of carton""]",[],
MB109,fr,"[""camping-car"", ""tente""]","{""camping-car"": ""beige"", ""tente"": ""verte""}","[""camping-car left of tente""]","[""ALPHA""]",
MB110,fr,"[""car"", ""gas pump""]","{""car"": ""blue"", ""gas pump"": ""silver""}","[""car left of gas pump""]","[""BRAVO""]",
MB111,fr,"[""car""]","{""car"": ""black""}",[],"[""TORVEX""]",
MB112,fr,"[""car""]","{""car"": ""white""}","[""light above of car""]","[""DELTA""]",
MB113,fr,"[""school bus"", ""stop sign""]","{""school bus"": ""yellow"", ""stop sign"": ""red""}","[""school bus right of stop sign""]","[""EAGLE""]",
MB114,fr,"[""fire truck"", ""fire hose""]","{""fire truck"": ""red"", ""fire hose"": ""yellow""}","[""fire truck right of fire hose""]","[""FOXTROT""]",
MB115,fr,"[""limousine"", ""tapis""]","{""limousine"": ""black"", ""tapis"": ""red""}","[""limousine on tapis""]","[""GRAND""]",
MB116,fr,"[""vehicle"", ""snow chains""]","{""vehicle"": ""gray"", ""snow chains"": ""silver""}","[""vehicle right of snow chains""]","[""HOUND""]",
MB117,fr,"[""motorcycle"", ""saddlebag""]","{""motorcycle"": ""black"", ""saddlebag"": ""brown""}","[""motorcycle above of saddlebag""]","[""\u00ab IRON \u00bb""]",
MB118,fr,"[""suv"", ""antenna""]","{""suv"": ""green"", ""antenna"": ""black""}","[""antenna right of suv""]","[""VANTIS""]",
MB119,fr,"[""micro-car"", ""city map""]","{""micro-car"": ""red"", ""city map"": ""white""}","[""micro-car right of city map""]","[""KILO""]",
MB120,fr,"[""superbike"", ""c\u00f4ne de piste""]","{""superbike"": ""orange"", ""c\u00f4ne de piste"": ""black""}","[""superbike right of c\u00f4ne de piste""]","[""LANCE""]",
MB121,fr,"[""yoga mat"", ""water bottle""]","{""yoga mat"": ""purple"", ""water bottle"": ""silver""}","[""yoga mat left of water bottle""]","[""ZENITH""]",
MB122,fr,"[""bottle"", ""capsule""]","{""bottle"": ""white"", ""capsule"": ""orange""}","[""capsule right of bottle""]","[""REVIVE""]",
MB123,fr,"[""sport bag"", ""towel""]","{""sport bag"": ""black"", ""towel"": ""white""}","[""sport bag left of towel""]","[""logo BOOST""]",
MB124,fr,"[""pot de cr\u00e8me""]","{""pot de cr\u00e8me"": ""white""}","[""pot de cr\u00e8me above of flowers""]","[""AURA""]",
MB125,fr,"[""shaker"", ""halt\u00e8re"", ""tapis de gym""]","{""shaker"": ""noir"", ""halt\u00e8re"": ""argent\u00e9"", ""tapis de gym"": ""gris""}","[""shaker left of halt\u00e8re""]","[""PEAK""]",
MB126,fr,"[""coussin de m\u00e9ditation"", ""bougie""]","{""coussin de m\u00e9ditation"": ""violet"", ""bougie"": ""blanc""}","[""coussin de m\u00e9ditation left of bougie""]","[""CALM""]",
MB127,fr,"[""foam roller"", ""yoga mat""]","{""foam roller"": ""blue"", ""yoga mat"": ""purple""}","[""foam roller above of yoga mat""]","[""ALIGN""]",
MB128,fr,"[""resistance band"", ""water bottle""]","{""resistance band"": ""red"", ""water bottle"": ""black""}","[""resistance band left of water bottle""]","[""TENZO""]",
MB129,fr,"[""bottle"", ""diffuser""]","{""bottle"": ""brown"", ""diffuser"": ""white""}","[""bottle left of diffuser""]","[""TERRA""]",
MB130,fr,"[""sleep mask"", ""pillow"", ""bed""]","{""sleep mask"": ""black"", ""pillow"": ""white"", ""bed"": ""grey""}","[""sleep mask on pillow"", ""pillow on bed""]","[""REST""]",
MB131,fr,"[""notebook"", ""pen""]","{""notebook"": ""white"", ""pen"": ""black""}","[""notebook left of pen""]","[""RYNTH""]",
MB132,fr,"[""sport watch"", ""smartphone""]","{""sport watch"": ""black"", ""smartphone"": ""white""}","[""sport watch left of smartphone""]","[""TRACE""]",
MB133,fr,"[""massage gun"", ""charging base""]","{""massage gun"": ""black"", ""charging base"": ""white""}","[""massage gun above charging base""]","[""EASE""]",
MB134,fr,"[""pot de poudre de collag\u00e8ne"", ""verre""]","{""pot de poudre de collag\u00e8ne"": ""white"", ""verre"": ""pink""}","[""pot de poudre de collag\u00e8ne left of verre""]","[""RENEW""]",
MB135,fr,"[""thermos"", ""sachet""]","{""thermos"": ""green"", ""sachet"": ""brown""}","[""thermos left of sachet""]","[""VOXA""]",
MB136,fr,"[""bowl"", ""spoon""]","{""bowl"": ""yellow"", ""spoon"": ""silver""}","[""bowl above spoon""]","[""VIVID""]",
MB137,fr,"[""bottle"", ""beach towel""]","{""bottle"": ""white"", ""beach towel"": ""orange""}","[""bottle left of beach towel""]","[""SHIELD""]",
MB138,fr,"[""flacon de vitamines"", ""emballage blister""]","{""flacon de vitamines"": ""orange"", ""emballage blister"": ""argent\u00e9""}","[""flacon de vitamines right of emballage blister""]","[""VITAL""]",
MB139,fr,"[""balance board"", ""sneakers""]","{""balance board"": ""teal"", ""sneakers"": ""white""}","[""balance board above sneakers""]","[""CORE""]",
MB140,fr,"[""roller"", ""bottle""]","{""roller"": ""white"", ""bottle"": ""gold""}","[""roller left of bottle""]","[""CHILL""]",
MB141,fr,"[""towel"", ""water bottle"", ""bench""]","{""towel"": ""white"", ""water bottle"": ""black"", ""bench"": ""wood""}","[""towel on water bottle"", ""water bottle on bench""]","[""STEAM""]",
MB142,fr,"[""tapis d'acupression"", ""oreiller""]","{""tapis d'acupression"": ""violet"", ""oreiller"": ""blanc""}","[""tapis d'acupression right of oreiller""]","[""PRESS""]",
MB143,fr,"[""nutrition bar"", ""water bottle""]","{""nutrition bar"": ""green"", ""water bottle"": ""silver""}","[""nutrition bar above water bottle""]","[""FUEL""]",
MB144,fr,"[""sac"", ""shaker""]","{""sac"": ""noir"", ""shaker"": ""rouge""}","[""sac right of shaker""]","[""MASS""]",
MB145,fr,"[""tube"", ""mirror""]","{""tube"": ""white"", ""mirror"": ""gold""}","[""tube right of mirror""]","[""LUMI""]",
MB146,fr,"[""stretch strap"", ""yoga mat""]","{""stretch strap"": ""blue"", ""yoga mat"": ""purple""}","[""stretch strap below yoga mat""]","[""EXTEND""]",
MB147,fr,"[""bottle"", ""lamp""]","{""bottle"": ""white"", ""lamp"": ""silver""}","[""bottle right of lamp""]","[""DRIFT""]",
MB148,fr,"[""hydration vest"", ""trail shoes""]","{""hydration vest"": ""blue"", ""trail shoes"": ""orange""}","[""hydration vest below trail shoes""]","[""PACE""]",
MB149,fr,"[""porte-encens"", ""chapelet de m\u00e9ditation"", ""support""]","{""porte-encens"": ""black"", ""chapelet de m\u00e9ditation"": ""brown"", ""support"": ""bamboo""}","[""porte-encens right of chapelet de m\u00e9ditation""]","[""SERENE""]",
MB150,fr,"[""bathtub"", ""towel""]","{""bathtub"": ""white"", ""towel"": ""blue""}","[""bathtub right of towel""]","[""POLAR""]",
MB001,es,"[""smartwatch"", ""wireless charger""]","{""smartwatch"": ""silver"", ""wireless charger"": ""black""}","[""smartwatch left of wireless charger""]","[""ZYRA""]",
MB002,es,"[""laptop"", ""wireless mouse"", ""desk""]","{""laptop"": ""black"", ""wireless mouse"": ""white"", ""desk"": ""grey""}","[""wireless mouse right of laptop""]","[""KESTRA""]",
MB003,es,"[""wireless headphones"", ""charging case""]","{""wireless headphones"": ""white"", ""charging case"": ""black""}","[""wireless headphones above charging case""]","[""APEX""]",
MB004,es,"[""smartphone"", ""support""]","{""smartphone"": ""black"", ""support"": ""silver""}","[""smartphone above support""]","[""VOLT""]",
MB005,es,"[""tablet"", ""stylus""]","{""tablet"": ""white"", ""stylus"": ""gold""}","[""stylus right of tablet""]","[""PRISM""]",
MB006,es,"[""keyboard"", ""mouse"", ""mouse pad""]","{""keyboard"": ""black"", ""mouse"": ""red"", ""mouse pad"": ""dark""}","[""mouse right of keyboard""]","[""SYNTH""]",
MB007,es,"[""bluetooth speaker"", ""smartphone"", ""table""]","{""bluetooth speaker"": ""blue"", ""smartphone"": ""black"", ""table"": ""wood""}","[""smartphone right of bluetooth speaker""]","[""NEXUS""]",
MB008,es,"[""camera"", ""lens"", ""pedestal""]","{""camera"": ""black"", ""lens"": ""silver"", ""pedestal"": ""white""}","[""lens right of camera""]","[""KOVAL""]",
MB009,es,"[""video game controller"", ""gaming headphones""]","{""video game controller"": ""white"", ""gaming headphones"": ""black""}","[""video game controller left of gaming headphones""]","[""LUNEX""]",
MB010,es,"[""smart screen"", ""remote control""]","{""smart screen"": ""black"", ""remote control"": ""silver""}","[""remote control below of smart screen""]","[""KORE""]",
MB011,es,"[""portable charger"", ""usb cable""]","{""portable charger"": ""white"", ""usb cable"": ""red""}","[""usb cable below of portable charger""]","[""LUMIX""]",
MB012,es,"[""laptop"", ""coffee cup"", ""desk""]","{""laptop"": ""silver"", ""coffee cup"": ""white"", ""desk"": ""dark wood""}","[""coffee cup right of laptop""]","[""MIRAX""]",
MB013,es,"[""wireless headphones"", ""smartphone""]","{""wireless headphones"": ""white"", ""smartphone"": ""black""}","[""wireless headphones above smartphone""]","[""NEURO""]",
MB014,es,"[""webcam"", ""monitor"", ""desk""]","{""webcam"": ""black"", ""monitor"": ""white"", ""desk"": ""not specified""}","[""webcam above monitor"", ""monitor above desk""]","[""OPUS""]",
MB015,es,"[""action camera"", ""bicycle helmet""]","{""action camera"": ""orange"", ""bicycle helmet"": ""white""}","[""action camera left of bicycle helmet""]","[""PHASE""]",
MB016,es,"[""smart speaker"", ""digital clock"", ""nightstand""]","{""smart speaker"": ""white"", ""digital clock"": ""black"", ""nightstand"": ""white""}","[""smart speaker left of digital clock""]","[""QUBIT""]",
MB017,es,"[""virtual reality glasses"", ""motion controller""]","{""virtual reality glasses"": ""white"", ""motion controller"": ""black""}","[""virtual reality glasses above motion controller""]","[""RADIUS""]",
MB018,es,"[""monitor"", ""keyboard"", ""desk""]","{""monitor"": ""black"", ""keyboard"": ""silver"", ""desk"": ""glass""}","[""keyboard below of monitor""]","[""SPARK""]",
MB019,es,"[""drone"", ""remote control""]","{""drone"": ""black"", ""remote control"": ""grey""}","[""drone left of remote control""]","[""VORTA""]",
MB020,es,"[""e-reader"", ""reading glasses""]","{""e-reader"": ""white"", ""reading glasses"": ""black""}","[""e-reader left of reading glasses""]","[""RIVOX""]",
MB021,es,"[""usb hub"", ""laptop""]","{""usb hub"": ""gray"", ""laptop"": ""silver""}","[""usb hub left of laptop""]","[""WAVE""]",
MB022,es,"[""headphones"", ""stand""]","{""headphones"": ""black"", ""stand"": ""white""}","[""headphones on top of stand"", ""stand on top of surface""]","[""XENON""]",
MB023,es,"[""activity bracelet"", ""smartphone""]","{""activity bracelet"": ""black"", ""smartphone"": ""white""}","[""activity bracelet left of smartphone""]","[""ZETA""]",
MB024,es,"[""projector"", ""remote control""]","{""projector"": ""white"", ""remote control"": ""black""}","[""projector above remote control""]","[""AXON""]",
MB025,es,"[""smart glasses"", ""case""]","{""smart glasses"": ""rose gold"", ""case"": ""black""}","[""smart glasses above of case""]","[""BREEZE""]",
MB026,es,"[""ssd"", ""usb cable""]","{""ssd"": ""silver"", ""usb cable"": ""blue""}","[""ssd right of usb cable""]","[""CREST""]",
MB027,es,"[""wireless charger"", ""smartphone"", ""nightstand""]","{""wireless charger"": ""white"", ""smartphone"": ""black"", ""nightstand"": ""wood""}","[""smartphone on top of wireless charger"", ""wireless charger on top of nightstand""]","[""DAWN""]",
MB028,es,"[""smart lock"", ""doorknob"", ""door""]","{""smart lock"": ""black"", ""doorknob"": ""silver"", ""door"": ""white""}","[""smart lock above doorknob"", ""doorknob on door""]","[""logotipo de NYRIC""]",
MB029,es,"[""router"", ""cable ethernet""]","{""router"": ""white"", ""cable ethernet"": ""yellow""}","[""cable ethernet below of router""]","[""FUSE""]",
MB030,es,"[""mouse"", ""mouse pad""]","{""mouse"": ""black"", ""mouse pad"": ""red""}","[""mouse above of mouse pad""]","[""GRID""]",
MB031,es,"[""bottle"", ""cup""]","{""bottle"": ""orange"", ""cup"": ""white""}","[""bottle left of cup""]","[""ZEST""]",
MB032,es,"[""coffee bag"", ""espresso cup"", ""wooden table""]","{""coffee bag"": ""brown"", ""espresso cup"": ""black"", ""wooden table"": ""brown""}","[""coffee bag above espresso cup"", ""espresso cup above wooden table""]","[""PURE""]",
MB033,es,"[""cereal box"", ""milk carton""]","{""cereal box"": ""yellow"", ""milk carton"": ""white""}","[""cereal box left of milk carton""]","[""BLOOM""]",
MB034,es,"[""bottle"", ""cutting board"", ""table""]","{""bottle"": ""red"", ""cutting board"": ""brown"", ""table"": ""rustic""}","[""bottle right of cutting board""]","[""GROVE""]",
MB035,es,"[""bottle"", ""bunch of grapes""]","{""bottle"": ""green"", ""bunch of grapes"": ""purple""}","[""bottle right of bunch of grapes""]","[""FRESH""]",
MB036,es,"[""tea box"", ""cup"", ""saucer""]","{""tea box"": ""blue-green"", ""cup"": ""white"", ""saucer"": ""white""}","[""tea box above cup"", ""cup above saucer""]","[""CRISP""]",
MB037,es,"[""can"", ""dumbbell""]","{""can"": ""black"", ""dumbbell"": ""silver""}","[""can left of dumbbell""]","[""BOLD""]",
MB038,es,"[""bottle""]","{""bottle"": ""blue""}","[""bottle above lemon slices""]","[""MIST""]",
MB039,es,"[""yogurt container"", ""strawberry""]","{""yogurt container"": ""white"", ""strawberry"": ""red""}","[""yogurt container left of strawberry""]","[""GLOW""]",
MB040,es,"[""cookie tin"", ""glass""]","{""cookie tin"": ""red"", ""glass"": ""white""}","[""cookie tin right of glass""]","[""PETAL""]",
MB041,es,"[""can"", ""ice bucket""]","{""can"": ""blue"", ""ice bucket"": ""silver""}","[""can left of ice bucket""]","[""QUENCH""]",
MB042,es,"[""bote de prote\u00edna"", ""botella mezcladora""]","{""bote de prote\u00edna"": ""negro"", ""botella mezcladora"": ""blanco""}","[""bote de prote\u00edna left of botella mezcladora""]","[""RIPPLE""]",
MB043,es,"[""bottle"", ""garlic""]","{""bottle"": ""green"", ""garlic"": ""white""}","[""bottle above garlic""]","[""SWAY""]",
MB044,es,"[""muesli bar"", ""banana""]","{""muesli bar"": ""brown"", ""banana"": ""yellow""}","[""muesli bar left of banana""]","[""TEMPO""]",
MB045,es,"[""bottle"", ""straw""]","{""bottle"": ""brown"", ""straw"": ""silver""}","[""bottle left of straw""]","[""UMBER""]",
MB046,es,"[""can"", ""lime""]","{""can"": ""blue"", ""lime"": ""green""}","[""can left of lime""]","[""VERDE""]",
MB047,es,"[""jar"", ""slice of whole grain toast"", ""wooden board""]","{""jar"": ""amber"", ""slice of whole grain toast"": ""brown"", ""wooden board"": ""brown""}","[""jar above slice of whole grain toast"", ""slice of whole grain toast on wooden board""]","[""WARM""]",
MB048,es,"[""bottle"", ""berry""]","{""bottle"": ""purple"", ""berry"": ""red""}","[""bottle left of berry""]","[""XTRA""]",
MB049,es,"[""bottle"", ""bamboo stalk""]","{""bottle"": ""white"", ""bamboo stalk"": ""green""}","[""bottle right of bamboo stalk""]","[""YUMA""]",
MB050,es,"[""tablet""]","{""tablet"": ""dark brown""}",[],"[""ZEAL""]",
MB051,es,"[""juice pouch"", ""straw""]","{""juice pouch"": ""orange"", ""straw"": ""brown""}","[""juice pouch right of straw""]","[""AMBER""]",
